feature,mean_abs_shap
rolling_3yr_mean,7.202882990438306
temp_anomaly,5.791443083708128
county,3.8033611691973417
ndvi_anomaly,2.348424225081979
ndvi_auc,2.1375714847543694
rain_days,1.3821735485717859
cumulative_gdd,1.2193655674305484
yield_std_5yr,1.163757278332899
et_rain_ratio,1.153985995812712
ndvi_at_cutoff,1.0744221147833652
rain_sum_mm,1.0726828910669683
yield_trend_5yr,1.0651622509741048
ndvi_slope,0.9721737540581166
water_balance_total_mm,0.44659687101331635
ndvi_peak,0.29184580809550303
net_moisture_stress,0.22928722272911944
heat_days_gt32,0.0
day_of_peak_ndvi,0.0
heat_rain_stress_idx,0.0
ndvi_drop_rate,0.0
