county,datetime,year,wind_mph
taylor,2025-04-18 03:21:00+00:00,2025,76
taylor,2025-04-18 03:08:00+00:00,2025,61
buena vista,2025-04-18 06:19:00+00:00,2025,61
ringgold,2025-04-02 06:15:00+00:00,2025,61
page,2025-04-18 02:09:00+00:00,2025,74
osceola,2025-04-29 00:26:00+00:00,2025,64
story,2025-04-29 02:53:00+00:00,2025,62
dickinson,2025-04-28 21:28:00+00:00,2025,60
des moines,2025-04-21 00:14:00+00:00,2025,60
des moines,2025-04-21 00:14:00+00:00,2025,60
des moines,2025-04-21 00:17:00+00:00,2025,61
pottawattamie,2025-04-02 05:23:00+00:00,2025,60
des moines,2025-04-21 00:17:00+00:00,2025,61
linn,2025-05-07 22:10:00+00:00,2025,59
